Accounting Item Id,Actuals General Fund Revenues Id,County District Code,Fund Code,Last Updated,Revenue Code,School Year Code,Amount
1012076,2024-20253625014198,36250,1,12/8/2025 14:09,4198,2024-2025,248072.89
1012074,2024-20253625014174,36250,1,12/8/2025 14:09,4174,2024-2025,45494.1
1012073,2024-20253625014165,36250,1,12/8/2025 14:09,4165,2024-2025,419331.3
1012071,2024-20253625014158,36250,1,12/8/2025 14:09,4158,2024-2025,251348.35
1012069,2024-20253625014155,36250,1,12/8/2025 14:09,4155,2024-2025,1035640.81
1012064,2024-20253625014121,36250,1,12/8/2025 14:09,4121,2024-2025,2849192.02
1012063,2024-20253625014109,36250,1,12/8/2025 14:09,4109,2024-2025,188879.45
1012062,2024-20253625014100,36250,1,12/8/2025 14:09,4100,2024-2025,32460
1012061,2024-20253625014000,36250,1,12/8/2025 14:09,4000,2024-2025,5762818.01
1012058,2024-20253625013300,36250,1,12/8/2025 14:09,3300,2024-2025,109885.23
1012057,2024-20253625013121,36250,1,12/8/2025 14:09,3121,2024-2025,627585.76
1012056,2024-20253625013100,36250,1,12/8/2025 14:09,3100,2024-2025,14153495.2
1012055,2024-20253625013000,36250,1,12/8/2025 14:09,3000,2024-2025,14890966.19
1012053,2024-20253625012900,36250,1,12/8/2025 14:09,2900,2024-2025,123265.7
1012052,2024-20253625012800,36250,1,12/8/2025 14:09,2800,2024-2025,57930.79
1012051,2024-20253625012700,36250,1,12/8/2025 14:09,2700,2024-2025,29650.74
1012050,2024-20253625012600,36250,1,12/8/2025 14:09,2600,2024-2025,3692.38
1012049,2024-20253625012500,36250,1,12/8/2025 14:09,2500,2024-2025,24417.34
1012046,2024-20253625012300,36250,1,12/8/2025 14:09,2300,2024-2025,311829.79
1012045,2024-20253625012298,36250,1,12/8/2025 14:09,2298,2024-2025,9444.37
1012041,2024-20253625012231,36250,1,12/8/2025 14:09,2231,2024-2025,1314.1
1012040,2024-20253625012200,36250,1,12/8/2025 14:09,2200,2024-2025,16920.6
1012036,2024-20253625012171,36250,1,12/8/2025 14:09,2171,2024-2025,39760
1012032,2024-20253625012100,36250,1,12/8/2025 14:09,2100,2024-2025,10440
