Accounting Item Id,Actuals General Fund Revenues Id,County District Code,Fund Code,Last Updated,Revenue Code,School Year Code,Amount
902505,2023-20243101514121,31015,1,11/19/2024 4:47:42 PM,4121,2023-2024,43188619.61
902503,2023-20243101514100,31015,1,11/19/2024 4:47:42 PM,4100,2023-2024,341148.05
902502,2023-20243101514000,31015,1,11/19/2024 4:47:42 PM,4000,2023-2024,77701005.16
902498,2023-20243101513121,31015,1,11/19/2024 4:47:42 PM,3121,2023-2024,8776086.9
902497,2023-20243101513100,31015,1,11/19/2024 4:47:42 PM,3100,2023-2024,208743473.66
902496,2023-20243101513000,31015,1,11/19/2024 4:47:42 PM,3000,2023-2024,217519560.56
902493,2023-20243101512900,31015,1,11/19/2024 4:47:42 PM,2900,2023-2024,337782.15
902492,2023-20243101512800,31015,1,11/19/2024 4:47:42 PM,2800,2023-2024,2950533.23
902491,2023-20243101512700,31015,1,11/19/2024 4:47:42 PM,2700,2023-2024,408016.27
902490,2023-20243101512600,31015,1,11/19/2024 4:47:42 PM,2600,2023-2024,34222.17
902489,2023-20243101512500,31015,1,11/19/2024 4:47:42 PM,2500,2023-2024,1216073.14
902486,2023-20243101512300,31015,1,11/19/2024 4:47:42 PM,2300,2023-2024,984691.68
902485,2023-20243101512298,31015,1,11/19/2024 4:47:42 PM,2298,2023-2024,1558458.12
902484,2023-20243101512289,31015,1,11/19/2024 4:47:42 PM,2289,2023-2024,14356.21
902481,2023-20243101512231,31015,1,11/19/2024 4:47:42 PM,2231,2023-2024,97360.48
902480,2023-20243101512200,31015,1,11/19/2024 4:47:42 PM,2200,2023-2024,467479.01
902479,2023-20243101512188,31015,1,11/19/2024 4:47:42 PM,2188,2023-2024,370370
902477,2023-20243101512173,31015,1,11/19/2024 4:47:42 PM,2173,2023-2024,171240
902472,2023-20243101512100,31015,1,11/19/2024 4:47:42 PM,2100,2023-2024,22977.62
902471,2023-20243101512000,31015,1,11/19/2024 4:47:42 PM,2000,2023-2024,8633560.08
902465,2023-20243101511100,31015,1,11/19/2024 4:47:42 PM,1100,2023-2024,62020714.1
902464,2023-20243101511000,31015,1,11/19/2024 4:47:42 PM,1000,2023-2024,62020714.1
902464,2023-20241940111000,19401,1,11/19/2024 4:47:42 PM,1000,2023-2024,9715397.05
902465,2023-20241940111100,19401,1,11/19/2024 4:47:42 PM,1100,2023-2024,9705897.42
902468,2023-20241940111500,19401,1,11/19/2024 4:47:42 PM,1500,2023-2024,9499.63
902471,2023-20241940112000,19401,1,11/19/2024 4:47:42 PM,2000,2023-2024,964025.53
902472,2023-20241940112100,19401,1,11/19/2024 4:47:42 PM,2100,2023-2024,875
902478,2023-20241940112186,19401,1,11/19/2024 4:47:42 PM,2186,2023-2024,30671.29
902479,2023-20241940112188,19401,1,11/19/2024 4:47:42 PM,2188,2023-2024,43260
902484,2023-20241940112289,19401,1,11/19/2024 4:47:42 PM,2289,2023-2024,60770.65
902485,2023-20241940112298,19401,1,11/19/2024 4:47:42 PM,2298,2023-2024,325211.5
902486,2023-20241940112300,19401,1,11/19/2024 4:47:42 PM,2300,2023-2024,200536.6
902489,2023-20241940112500,19401,1,11/19/2024 4:47:42 PM,2500,2023-2024,74894.02
902490,2023-20241940112600,19401,1,11/19/2024 4:47:42 PM,2600,2023-2024,7738.87
902492,2023-20241940112800,19401,1,11/19/2024 4:47:42 PM,2800,2023-2024,120783.44
902493,2023-20241940112900,19401,1,11/19/2024 4:47:42 PM,2900,2023-2024,56326.83
902494,2023-20241940112910,19401,1,11/19/2024 4:47:42 PM,2910,2023-2024,42957.33
902496,2023-20241940113000,19401,1,11/19/2024 4:47:42 PM,3000,2023-2024,31225104.01
902497,2023-20241940113100,19401,1,11/19/2024 4:47:42 PM,3100,2023-2024,30336265.69
902498,2023-20241940113121,19401,1,11/19/2024 4:47:42 PM,3121,2023-2024,888838.32
902502,2023-20241940114000,19401,1,11/19/2024 4:47:42 PM,4000,2023-2024,9636208.06
902504,2023-20241940114109,19401,1,11/19/2024 4:47:42 PM,4109,2023-2024,129252.09
902505,2023-20241940114121,19401,1,11/19/2024 4:47:42 PM,4121,2023-2024,5087879.36
902510,2023-20241940114155,19401,1,11/19/2024 4:47:42 PM,4155,2023-2024,1121302.83
902512,2023-20241940114158,19401,1,11/19/2024 4:47:42 PM,4158,2023-2024,404174.13
902514,2023-20241940114165,19401,1,11/19/2024 4:47:42 PM,4165,2023-2024,392071.05
902515,2023-20241940114174,19401,1,11/19/2024 4:47:42 PM,4174,2023-2024,96724.74
902516,2023-20241940114188,19401,1,11/19/2024 4:47:42 PM,4188,2023-2024,97760
902517,2023-20241940114198,19401,1,11/19/2024 4:47:42 PM,4198,2023-2024,186474.94
902518,2023-20241940114199,19401,1,11/19/2024 4:47:42 PM,4199,2023-2024,2060063.45
902519,2023-20241940114300,19401,1,11/19/2024 4:47:42 PM,4300,2023-2024,641.3
902524,2023-20241940114358,19401,1,11/19/2024 4:47:42 PM,4358,2023-2024,59864.17
902529,2023-20241940115000,19401,1,11/19/2024 4:47:42 PM,5000,2023-2024,276579.12
902533,2023-20241940115400,19401,1,11/19/2024 4:47:42 PM,5400,2023-2024,122161.26
902534,2023-20241940115500,19401,1,11/19/2024 4:47:42 PM,5500,2023-2024,154417.86
902536,2023-20241940116000,19401,1,11/19/2024 4:47:42 PM,6000,2023-2024,5000792.17
902537,2023-20241940116109,19401,1,11/19/2024 4:47:42 PM,6109,2023-2024,268034.59
902541,2023-20241940116113,19401,1,11/19/2024 4:47:42 PM,6113,2023-2024,1368592.09
902548,2023-20241940116124,19401,1,11/19/2024 4:47:42 PM,6124,2023-2024,746473.26
902550,2023-20241940116138,19401,1,11/19/2024 4:47:42 PM,6138,2023-2024,39594.73
902552,2023-20241940116151,19401,1,11/19/2024 4:47:42 PM,6151,2023-2024,911293.54
902553,2023-20241940116152,19401,1,11/19/2024 4:47:42 PM,6152,2023-2024,122700.85
902559,2023-20241940116164,19401,1,11/19/2024 4:47:42 PM,6164,2023-2024,28818.28
902566,2023-20241940116198,19401,1,11/19/2024 4:47:42 PM,6198,2023-2024,1208182.86
902597,2023-20241940116298,19401,1,11/19/2024 4:47:42 PM,6298,2023-2024,104226.8
902599,2023-20241940116300,19401,1,11/19/2024 4:47:42 PM,6300,2023-2024,32235.33
902607,2023-20241940116321,19401,1,11/19/2024 4:47:42 PM,6321,2023-2024,22447.06
902630,2023-20241940116998,19401,1,11/19/2024 4:47:42 PM,6998,2023-2024,148192.78
902631,2023-20241940117000,19401,1,11/19/2024 4:47:42 PM,7000,2023-2024,40460.6
902638,2023-20241940117189,19401,1,11/19/2024 4:47:42 PM,7189,2023-2024,260
902642,2023-20241940117301,19401,1,11/19/2024 4:47:42 PM,7301,2023-2024,40200.6
902643,2023-20241940118000,19401,1,11/19/2024 4:47:42 PM,8000,2023-2024,84500
902650,2023-20241940118200,19401,1,11/19/2024 4:47:42 PM,8200,2023-2024,84500
902654,2023-20241940119000,19401,1,11/19/2024 4:47:42 PM,9000,2023-2024,1303342
902657,2023-20241940119300,19401,1,11/19/2024 4:47:42 PM,9300,2023-2024,3342
902661,2023-20241940119901,19401,1,11/19/2024 4:47:42 PM,9901,2023-2024,1300000
